epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,554.478,0.88913,0.54346,1.10125,0.94302,0.94254,0.96517,0.46335,1.85482,0.71395,2.13642,0.000406,0.000406,0.000406
74,560.628,0.85467,0.52581,1.0797,0.94692,0.91884,0.96192,0.47857,1.76871,0.70829,1.99888,0.00039775,0.00039775,0.00039775
75,566.995,0.84621,0.53798,1.08492,0.94968,0.92297,0.95399,0.44807,1.89243,0.76424,2.11975,0.0003895,0.0003895,0.0003895
76,573.233,0.82839,0.5049,1.06818,0.95792,0.90646,0.95116,0.45298,1.92861,0.81335,2.16781,0.00038125,0.00038125,0.00038125
77,579.638,0.83345,0.51113,1.07359,0.95733,0.90288,0.95182,0.45493,1.88793,0.77741,2.15254,0.000373,0.000373,0.000373
78,585.778,0.89329,0.53934,1.11588,0.9487,0.8947,0.94537,0.42847,1.8941,0.76719,2.17032,0.00036475,0.00036475,0.00036475
79,592.235,0.92792,0.5252,1.11401,0.95977,0.86924,0.93099,0.42114,1.91096,0.77137,2.2019,0.0003565,0.0003565,0.0003565
80,598.576,0.88417,0.53826,1.09615,0.92683,0.90666,0.95645,0.47375,1.74909,0.72515,1.98182,0.00034825,0.00034825,0.00034825
81,604.849,0.94635,0.53077,1.13141,0.90677,0.88207,0.92596,0.47526,1.73276,0.73617,1.95476,0.00034,0.00034,0.00034
82,611.287,0.85629,0.50584,1.0927,0.9034,0.86788,0.90534,0.44201,1.84492,0.76097,2.05529,0.00033175,0.00033175,0.00033175
83,617.726,0.8915,0.5385,1.09454,0.90468,0.86207,0.89628,0.44304,1.87025,0.77171,2.1136,0.0003235,0.0003235,0.0003235
84,624.224,0.84647,0.50518,1.04785,0.89998,0.89378,0.9048,0.47767,1.72584,0.73767,1.96669,0.00031525,0.00031525,0.00031525
85,630.744,0.89541,0.52349,1.10263,0.88754,0.89798,0.91184,0.47188,1.73098,0.75446,1.96472,0.000307,0.000307,0.000307
86,637.231,0.89148,0.54165,1.11911,0.84656,0.92533,0.90538,0.45112,1.85388,0.78057,2.08971,0.00029875,0.00029875,0.00029875
87,643.564,0.85485,0.50204,1.0697,0.91155,0.92393,0.9419,0.42945,1.95029,0.79434,2.20741,0.0002905,0.0002905,0.0002905
88,650.082,0.85189,0.47459,1.04074,0.87795,0.92099,0.90803,0.45561,1.814,0.7381,2.02767,0.00028225,0.00028225,0.00028225
89,656.543,0.79091,0.46562,1.0598,0.90786,0.90563,0.92133,0.46139,1.78241,0.72834,1.99032,0.000274,0.000274,0.000274
90,663.03,0.85971,0.52636,1.08466,0.9116,0.90758,0.92232,0.43649,1.89149,0.73833,2.1448,0.00026575,0.00026575,0.00026575
91,669.336,0.82394,0.51006,1.05026,0.93175,0.93101,0.94783,0.41136,2.02956,0.7771,2.34238,0.0002575,0.0002575,0.0002575
92,675.876,0.81085,0.47819,1.0488,0.92671,0.93835,0.95217,0.47024,1.91714,0.75618,2.22566,0.00024925,0.00024925,0.00024925
93,682.215,0.77114,0.47619,1.02069,0.90284,0.90974,0.91616,0.50491,1.78587,0.7292,2.08534,0.000241,0.000241,0.000241
94,688.808,0.74008,0.43737,1.0425,0.92078,0.94317,0.95569,0.50462,1.79781,0.71814,2.12015,0.00023275,0.00023275,0.00023275
95,695.052,0.75426,0.45985,1.01657,0.92084,0.94365,0.95932,0.46034,1.87534,0.73351,2.22811,0.0002245,0.0002245,0.0002245
96,701.743,0.76392,0.45774,1.04267,0.91116,0.91593,0.93692,0.47701,1.83743,0.72682,2.18262,0.00021625,0.00021625,0.00021625
97,708.173,0.76049,0.45034,1.0328,0.91083,0.90872,0.92279,0.47678,1.81715,0.69925,2.12879,0.000208,0.000208,0.000208
98,714.636,0.75254,0.47276,1.03489,0.91183,0.90548,0.92347,0.47703,1.83934,0.69379,2.15153,0.00019975,0.00019975,0.00019975
99,720.959,0.77802,0.48519,1.04353,0.9148,0.90205,0.93074,0.45415,1.90667,0.70744,2.24577,0.0001915,0.0001915,0.0001915
